age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,has_left
36,M,9699,Marié(e),Commercial,Cadre Commercial,4,80,16,13,9,1,2,3,4,1,3,3,Non,11 %,1,2,1,481,3,4,Transformation Digitale,Y,Frequent,1,12,0
57,M,6755,Marié(e),Consulting,Manager,2,80,15,3,2,4,3,2,3,3,3,3,Non,11 %,0,2,1,482,1,4,Transformation Digitale,Y,Occasionnel,1,2,0
40,F,2213,Marié(e),Consulting,Consultant,3,80,10,7,7,4,4,1,3,3,3,3,Oui,13 %,1,3,1,483,10,4,Infra & Cloud,Y,Occasionnel,1,7,0
21,M,2610,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2,1,3,1,4,3,2,4,Non,24 %,0,3,1,484,9,2,Transformation Digitale,Y,Aucun,2,2,0
33,F,2851,Célibataire,Commercial,Représentant Commercial,1,80,1,1,0,4,3,1,3,2,3,3,Oui,13 %,0,2,1,485,5,3,Marketing,Y,Occasionnel,0,0,1
37,F,3452,Marié(e),Consulting,Consultant,6,80,17,5,4,3,3,1,1,2,3,4,Non,20 %,1,3,1,486,10,3,Transformation Digitale,Y,Occasionnel,0,3,0
46,F,5258,Marié(e),Consulting,Tech Lead,2,80,7,1,0,3,3,2,3,3,4,3,Non,14 %,0,2,1,487,7,4,Transformation Digitale,Y,Aucun,0,0,0
41,M,9355,Célibataire,Commercial,Cadre Commercial,1,80,8,8,7,1,3,2,2,3,3,3,Non,18 %,0,5,1,488,4,3,Marketing,Y,Frequent,7,7,1
50,M,10496,Célibataire,Consulting,Manager,6,80,20,4,3,4,2,3,4,4,3,3,Non,15 %,0,2,1,491,10,3,Entrepreunariat,Y,Occasionnel,1,3,0
40,M,6380,Marié(e),Commercial,Cadre Commercial,2,80,8,6,4,3,2,2,3,1,3,3,Oui,12 %,2,6,1,492,22,2,Marketing,Y,Occasionnel,1,0,1
31,M,2657,Célibataire,Consulting,Assistant de Direction,0,80,3,2,2,3,2,1,2,4,3,3,Oui,16 %,0,5,1,493,9,4,Infra & Cloud,Y,Occasionnel,2,2,0
21,F,2716,Célibataire,Commercial,Représentant Commercial,1,80,1,1,0,3,4,1,2,4,3,3,Non,15 %,0,0,1,494,12,3,Infra & Cloud,Y,Occasionnel,0,0,1
29,M,2201,Célibataire,Consulting,Assistant de Direction,9,80,6,3,2,4,3,1,4,4,3,3,Non,16 %,0,4,1,495,23,3,Infra & Cloud,Y,Occasionnel,1,2,0
35,M,6540,Célibataire,Consulting,Manager,9,80,10,1,1,3,2,2,2,3,3,3,Non,19 %,0,5,1,496,9,4,Infra & Cloud,Y,Occasionnel,0,0,0
27,M,3816,Divorcé(e),Consulting,Consultant,1,80,5,5,2,4,3,1,2,2,3,3,Non,11 %,1,2,1,497,1,2,Transformation Digitale,Y,Occasionnel,0,4,0
28,M,5253,Célibataire,Commercial,Cadre Commercial,1,80,7,7,5,2,3,2,4,4,3,3,Non,16 %,0,1,1,498,9,4,Infra & Cloud,Y,Occasionnel,0,7,0
49,M,10965,Célibataire,Consulting,Manager,8,80,26,5,2,2,2,3,3,3,3,4,Non,24 %,0,2,1,499,7,3,Autre,Y,Occasionnel,0,0,0
51,F,4936,Marié(e),Commercial,Cadre Commercial,4,80,18,7,7,3,3,2,4,3,2,3,Non,11 %,1,2,1,500,14,2,Infra & Cloud,Y,Occasionnel,0,7,0
36,F,2543,Marié(e),Consulting,Assistant de Direction,4,80,6,2,2,4,3,1,3,2,3,3,Non,13 %,1,3,1,501,2,3,Infra & Cloud,Y,Occasionnel,2,2,0
34,M,5304,Célibataire,Commercial,Cadre Commercial,8,80,9,5,2,1,4,2,4,2,2,3,Oui,13 %,0,3,1,502,19,3,Marketing,Y,Aucun,0,4,1
55,F,16659,Célibataire,Consulting,Senior Manager,2,80,30,5,4,3,3,4,4,3,3,3,Oui,13 %,0,2,1,505,2,3,Infra & Cloud,Y,Occasionnel,1,2,0
24,F,4260,Divorcé(e),Commercial,Cadre Commercial,1,80,5,5,2,4,3,2,3,4,4,3,Oui,12 %,1,2,1,507,10,4,Marketing,Y,Occasionnel,0,3,0
30,M,2476,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,3,3,1,2,1,3,3,Non,18 %,1,3,1,508,2,1,Entrepreunariat,Y,Occasionnel,0,0,0
26,M,3102,Célibataire,Consulting,Assistant de Direction,0,80,7,6,4,3,3,1,1,3,3,4,Non,22 %,0,2,1,510,3,1,Entrepreunariat,Y,Frequent,0,4,1
22,F,2244,Marié(e),Consulting,Assistant de Direction,1,80,2,2,1,1,3,1,2,4,3,3,Non,13 %,1,1,1,511,11,3,Transformation Digitale,Y,Occasionnel,1,2,0
36,M,7596,Marié(e),Commercial,Cadre Commercial,1,80,10,10,9,2,2,3,3,2,3,3,Non,13 %,2,2,1,513,2,2,Transformation Digitale,Y,Occasionnel,9,0,0
30,M,2285,Célibataire,Consulting,Assistant de Direction,9,80,3,1,0,3,3,1,4,3,3,4,Oui,23 %,0,4,1,514,4,3,Entrepreunariat,Y,Frequent,0,0,1
37,F,3034,Divorcé(e),Consulting,Consultant,1,80,18,18,7,4,3,1,1,3,2,3,Non,12 %,1,2,1,515,14,3,Infra & Cloud,Y,Occasionnel,12,17,0
40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,80,8,5,4,4,3,2,2,3,3,3,Non,12 %,2,5,1,516,2,2,Marketing,Y,Occasionnel,1,3,0
42,F,2576,Divorcé(e),Consulting,Consultant,3,80,8,5,2,2,3,1,1,2,3,3,Non,16 %,1,5,1,517,1,4,Infra & Cloud,Y,Occasionnel,1,2,0
37,M,4197,Célibataire,Consulting,Tech Lead,2,80,18,1,0,3,3,2,2,4,2,3,Oui,12 %,0,2,1,518,10,4,Infra & Cloud,Y,Occasionnel,0,1,0
43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,80,25,25,10,1,2,4,2,3,3,3,Non,11 %,1,3,1,520,12,3,Infra & Cloud,Y,Occasionnel,3,9,0
40,F,3448,Marié(e),Consulting,Consultant,6,80,20,1,0,2,2,2,3,2,3,4,Non,22 %,1,3,1,521,2,3,Transformation Digitale,Y,Occasionnel,0,0,0
54,M,19406,Marié(e),Consulting,Directeur Technique,4,80,24,4,2,1,3,5,1,3,2,3,Non,11 %,1,4,1,522,5,2,Transformation Digitale,Y,Occasionnel,1,2,0
34,F,6538,Marié(e),Commercial,Cadre Commercial,9,80,6,3,2,3,3,2,3,1,3,3,Non,15 %,1,3,1,523,4,4,Marketing,Y,Aucun,1,2,0
31,F,4306,Marié(e),Consulting,Tech Lead,1,80,13,13,10,2,3,2,1,2,1,3,Non,12 %,1,5,1,524,7,2,Transformation Digitale,Y,Occasionnel,3,12,0
43,M,2258,Marié(e),Consulting,Consultant,7,80,8,3,2,4,3,1,4,1,3,4,Non,20 %,1,1,1,525,21,3,Transformation Digitale,Y,Frequent,1,2,0
43,F,4522,Divorcé(e),Consulting,Manager,4,80,8,5,2,3,3,2,3,4,3,3,Oui,14 %,0,3,1,526,8,4,Autre,Y,Occasionnel,0,2,0
25,F,4487,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,2,2,2,4,2,3,3,Oui,11 %,0,3,1,527,4,2,Infra & Cloud,Y,Occasionnel,1,3,0
37,F,4449,Marié(e),Consulting,Assistant de Direction,3,80,15,13,11,2,3,2,3,1,3,3,Oui,15 %,2,2,1,529,25,5,Transformation Digitale,Y,Aucun,10,7,0
31,M,2218,Marié(e),Consulting,Consultant,1,80,4,4,2,4,2,1,1,3,3,3,Non,12 %,1,3,1,530,1,2,Infra & Cloud,Y,Occasionnel,3,2,0
39,M,19197,Divorcé(e),Consulting,Senior Manager,1,80,21,21,8,2,3,5,3,3,3,3,Oui,14 %,1,3,1,531,1,1,Infra & Cloud,Y,Frequent,1,6,0
56,F,13212,Marié(e),Commercial,Cadre Commercial,9,80,36,7,7,3,4,4,1,4,2,3,Non,11 %,3,0,1,532,6,3,Infra & Cloud,Y,Frequent,7,7,0
30,F,6577,Célibataire,Commercial,Cadre Commercial,0,80,6,5,4,2,3,2,3,2,3,3,Non,11 %,0,6,1,533,12,3,Entrepreunariat,Y,Occasionnel,4,4,0
41,M,8392,Marié(e),Commercial,Cadre Commercial,1,80,10,10,7,2,4,3,1,3,3,3,Non,16 %,1,2,1,534,1,3,Marketing,Y,Occasionnel,0,7,0
28,M,4558,Divorcé(e),Consulting,Consultant,1,80,10,10,0,3,3,2,1,4,3,3,Non,12 %,1,2,1,536,17,2,Transformation Digitale,Y,Occasionnel,1,8,0
25,M,4031,Marié(e),Consulting,Consultant,5,80,6,2,2,1,3,1,1,3,3,3,Non,13 %,1,5,1,538,3,3,Transformation Digitale,Y,Occasionnel,0,2,1
52,M,7969,Marié(e),Consulting,Tech Lead,2,80,28,5,4,4,2,3,3,3,3,3,Oui,14 %,0,4,1,543,3,3,Transformation Digitale,Y,Occasionnel,0,4,0
45,M,2654,Marié(e),Consulting,Assistant de Direction,3,80,8,2,2,1,3,1,4,4,2,4,Non,21 %,2,3,1,544,10,2,Infra & Cloud,Y,Occasionnel,0,2,0
52,F,16555,Marié(e),Consulting,Senior Manager,2,80,31,5,2,4,3,4,4,4,1,3,Non,13 %,0,2,1,546,4,2,Infra & Cloud,Y,Occasionnel,1,4,0
42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,80,19,5,4,1,3,2,3,2,3,3,Non,11 %,1,3,1,547,29,2,Infra & Cloud,Y,Frequent,0,2,0
30,F,6091,Célibataire,Consulting,Tech Lead,2,80,11,5,4,3,1,2,4,3,3,4,Non,20 %,0,2,1,548,2,3,Infra & Cloud,Y,Occasionnel,0,2,0
60,F,19566,Marié(e),Consulting,Senior Manager,5,80,33,29,8,1,3,5,1,4,1,3,Non,11 %,0,5,1,549,7,3,Infra & Cloud,Y,Occasionnel,11,10,0
46,F,4810,Divorcé(e),Consulting,Tech Lead,2,80,19,10,7,3,3,2,3,3,2,3,Non,14 %,1,5,1,550,18,3,Transformation Digitale,Y,Occasionnel,0,8,0
42,F,4523,Marié(e),Consulting,Manager,0,80,7,6,5,4,2,2,4,4,4,3,Non,11 %,3,4,1,551,28,4,Entrepreunariat,Y,Frequent,0,4,0
24,F,3202,Célibataire,Commercial,Représentant Commercial,1,80,6,5,3,1,3,1,2,2,3,3,Oui,16 %,0,4,1,554,1,1,Entrepreunariat,Y,Occasionnel,1,4,1
34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,80,3,2,2,4,1,1,3,4,2,3,Non,16 %,1,3,1,555,6,2,Marketing,Y,Frequent,1,0,1
38,M,1702,Marié(e),Consulting,Consultant,1,80,1,1,0,4,3,1,4,3,3,4,Oui,23 %,1,3,1,556,2,2,Infra & Cloud,Y,Frequent,0,0,0
40,F,18041,Marié(e),Commercial,Senior Manager,0,80,21,20,15,3,3,5,3,4,3,3,Non,14 %,0,2,1,558,2,4,Infra & Cloud,Y,Occasionnel,1,12,0
26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,80,3,3,2,1,3,1,4,2,1,4,Non,22 %,2,3,1,560,23,3,Infra & Cloud,Y,Occasionnel,0,2,0
30,M,2097,Marié(e),Consulting,Consultant,4,80,9,5,3,3,3,1,4,3,1,3,Non,15 %,1,3,1,562,3,3,Infra & Cloud,Y,Aucun,1,4,0
29,M,11935,Marié(e),Consulting,Directeur Technique,1,80,10,10,2,2,2,3,3,3,3,3,Non,18 %,0,2,1,564,3,4,Transformation Digitale,Y,Occasionnel,0,7,0
29,F,2546,Marié(e),Consulting,Assistant de Direction,5,80,6,2,2,3,2,1,2,2,4,3,Non,16 %,0,2,1,565,25,5,Entrepreunariat,Y,Occasionnel,1,1,1
19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,80,1,1,0,1,2,1,4,3,4,3,Non,12 %,0,3,1,566,2,2,Entrepreunariat,Y,Occasionnel,0,0,1
30,F,8412,Marié(e),Commercial,Cadre Commercial,0,80,10,9,8,3,3,3,1,3,3,3,Non,11 %,0,3,1,567,22,4,Autre,Y,Aucun,7,8,0
57,M,14118,Divorcé(e),Commercial,Senior Manager,3,80,32,1,0,1,2,4,4,3,2,3,Non,12 %,1,3,1,568,29,3,Marketing,Y,Occasionnel,0,0,0
50,M,17046,Marié(e),Consulting,Senior Manager,0,80,28,27,10,2,2,4,3,2,3,3,Non,15 %,1,2,1,569,29,4,Infra & Cloud,Y,Occasionnel,15,7,0
30,F,2564,Célibataire,Consulting,Consultant,0,80,12,11,7,3,3,1,4,3,2,3,Non,14 %,0,2,1,571,2,3,Transformation Digitale,Y,Aucun,6,7,0
60,F,10266,Marié(e),Commercial,Cadre Commercial,4,80,22,18,13,3,2,3,1,4,4,3,Non,19 %,0,5,1,573,28,3,Marketing,Y,Frequent,13,11,0
47,F,5070,Divorcé(e),Consulting,Tech Lead,5,80,20,5,0,1,3,2,4,3,3,3,Non,13 %,3,2,1,574,2,2,Transformation Digitale,Y,Occasionnel,0,4,0
46,M,17861,Marié(e),Consulting,Directeur Technique,6,80,26,3,2,1,3,4,3,3,1,3,Non,13 %,0,2,1,575,2,3,Infra & Cloud,Y,Occasionnel,0,1,0
35,M,4230,Célibataire,Consulting,Consultant,0,80,6,5,4,4,1,1,3,3,3,3,Non,15 %,0,2,1,577,22,3,Infra & Cloud,Y,Occasionnel,4,3,0
54,F,3780,Célibataire,Consulting,Consultant,7,80,19,1,0,3,3,2,3,3,3,3,Non,11 %,0,3,1,578,8,4,Infra & Cloud,Y,Occasionnel,0,0,0
34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,80,14,7,3,4,2,1,3,3,3,3,Non,12 %,1,3,1,579,2,4,Infra & Cloud,Y,Occasionnel,5,7,0
46,F,9071,Marié(e),Commercial,Cadre Commercial,2,80,15,3,2,3,2,3,4,3,3,3,Oui,19 %,1,3,1,580,10,3,Marketing,Y,Occasionnel,1,2,0
31,M,10648,Divorcé(e),Consulting,Tech Lead,1,80,13,13,8,3,3,3,2,4,4,4,Non,25 %,1,6,1,581,9,1,Infra & Cloud,Y,Occasionnel,0,8,0
33,M,13610,Marié(e),Consulting,Senior Manager,7,80,15,7,6,2,3,3,3,4,4,3,Oui,12 %,0,2,1,582,15,1,Transformation Digitale,Y,Occasionnel,7,7,1
33,M,3408,Divorcé(e),Consulting,Consultant,7,80,8,4,3,1,1,1,4,1,3,3,Non,13 %,3,2,1,584,10,1,Transformation Digitale,Y,Occasionnel,1,3,1
30,M,2983,Célibataire,Commercial,Représentant Commercial,0,80,4,3,2,4,3,1,2,1,3,3,Non,14 %,0,3,1,585,7,1,Marketing,Y,Occasionnel,1,2,0
35,M,7632,Marié(e),Consulting,Manager,4,80,10,8,7,4,3,3,3,3,3,3,Oui,12 %,0,2,1,586,16,3,Infra & Cloud,Y,Occasionnel,0,0,0
31,M,9824,Marié(e),Consulting,Manager,3,80,12,1,0,1,3,3,3,1,3,3,Non,12 %,0,2,1,587,20,3,Infra & Cloud,Y,Frequent,0,0,1
34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,80,11,3,2,2,3,3,1,3,3,3,Oui,15 %,3,2,1,590,23,3,Ressources Humaines,Y,Frequent,0,2,1
42,M,2093,Marié(e),Consulting,Consultant,4,80,8,2,2,2,3,1,3,4,3,3,Non,17 %,1,4,1,591,5,2,Autre,Y,Frequent,2,0,0
36,M,9980,Célibataire,Commercial,Cadre Commercial,1,80,10,10,3,2,3,3,4,4,2,3,Non,14 %,0,3,1,592,10,4,Transformation Digitale,Y,Aucun,9,7,0
22,M,3894,Célibataire,Consulting,Consultant,5,80,4,2,2,3,2,1,3,3,3,3,Non,16 %,0,3,1,593,4,1,Entrepreunariat,Y,Frequent,1,2,1
48,F,4051,Marié(e),Commercial,Cadre Commercial,2,80,14,9,7,2,3,2,4,1,3,3,Non,14 %,1,2,1,595,2,5,Marketing,Y,Occasionnel,6,7,0
55,F,16835,Célibataire,Commercial,Senior Manager,3,80,37,10,9,1,3,4,2,4,3,4,Non,23 %,0,2,1,597,18,5,Infra & Cloud,Y,Occasionnel,7,7,0
41,M,6230,Célibataire,Commercial,Cadre Commercial,7,80,16,14,3,4,3,2,4,4,3,3,Non,14 %,0,3,1,599,10,2,Infra & Cloud,Y,Aucun,1,10,0
35,M,4717,Marié(e),Commercial,Cadre Commercial,9,80,15,11,9,2,3,2,3,3,3,3,Non,11 %,0,2,1,600,1,3,Marketing,Y,Occasionnel,6,9,0
40,F,13237,Célibataire,Consulting,Tech Lead,7,80,22,20,6,2,3,4,3,3,3,3,Non,15 %,0,3,1,601,6,3,Infra & Cloud,Y,Occasionnel,5,13,0
39,F,3755,Marié(e),Consulting,Consultant,1,80,8,8,3,3,3,1,3,1,3,3,Non,11 %,1,3,1,602,8,1,Infra & Cloud,Y,Frequent,0,7,0
31,M,6582,Célibataire,Commercial,Cadre Commercial,4,80,10,6,5,2,3,2,4,3,4,3,Oui,13 %,0,2,1,604,2,1,Infra & Cloud,Y,Occasionnel,0,5,0
42,M,7406,Marié(e),Consulting,Tech Lead,1,80,10,10,9,4,3,3,1,4,2,4,Oui,21 %,1,5,1,605,24,3,Transformation Digitale,Y,Occasionnel,5,8,0
45,M,4805,Marié(e),Commercial,Cadre Commercial,0,80,9,8,7,4,3,2,2,2,4,3,Non,19 %,1,3,1,606,2,3,Autre,Y,Occasionnel,3,7,0
26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,80,8,7,7,2,3,1,3,2,2,3,Oui,11 %,1,2,1,608,17,4,Infra & Cloud,Y,Frequent,1,0,1
29,M,4262,Divorcé(e),Consulting,Tech Lead,4,80,8,3,2,4,3,2,4,2,4,3,Non,12 %,2,2,1,611,19,3,Entrepreunariat,Y,Occasionnel,1,2,0
33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,80,10,6,1,1,4,4,3,3,3,3,Non,19 %,1,2,1,612,1,5,Transformation Digitale,Y,Occasionnel,0,5,0
31,M,11557,Divorcé(e),Commercial,Senior Manager,9,80,10,5,4,3,2,3,4,3,2,4,Non,21 %,1,3,1,613,7,3,Infra & Cloud,Y,Occasionnel,0,1,0
18,M,1878,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,2,3,1,2,4,3,3,Oui,14 %,0,3,1,614,5,3,Marketing,Y,Frequent,0,0,1
40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,80,20,1,0,3,1,3,1,3,3,3,Non,15 %,1,2,1,615,28,3,Autre,Y,Aucun,0,1,0
41,F,6811,Célibataire,Consulting,Manager,2,80,10,8,7,1,2,2,3,1,3,3,Oui,17 %,0,3,1,616,2,4,Autre,Y,Aucun,0,7,0
26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,80,8,0,0,1,3,2,3,1,3,3,Non,12 %,2,5,1,618,29,2,Transformation Digitale,Y,Occasionnel,0,0,0
35,F,4859,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,1,3,2,3,4,3,3,Non,16 %,0,3,1,620,1,3,Transformation Digitale,Y,Occasionnel,0,3,0
34,M,5337,Célibataire,Commercial,Cadre Commercial,1,80,10,10,7,4,4,2,4,4,3,3,Non,12 %,0,3,1,621,21,4,Infra & Cloud,Y,Occasionnel,5,7,0
26,M,2340,Célibataire,Consulting,Consultant,1,80,1,1,0,3,1,1,4,2,1,3,Oui,18 %,0,3,1,622,24,3,Entrepreunariat,Y,Occasionnel,0,0,1
37,F,7491,Célibataire,Consulting,Tech Lead,4,80,12,6,5,2,3,3,4,4,4,3,Non,17 %,0,3,1,623,1,3,Entrepreunariat,Y,Occasionnel,1,2,0
46,F,10527,Marié(e),Consulting,Manager,5,80,28,2,2,1,3,3,3,4,2,3,Non,11 %,0,3,1,624,18,1,Transformation Digitale,Y,Frequent,1,2,0
41,F,16595,Marié(e),Commercial,Senior Manager,7,80,22,18,16,2,3,4,1,2,3,3,Non,16 %,1,2,1,625,2,5,Infra & Cloud,Y,Occasionnel,11,8,0
37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,80,9,9,5,1,3,3,2,4,3,3,Non,13 %,1,6,1,626,9,4,Transformation Digitale,Y,Aucun,7,7,0
52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,80,18,10,9,4,3,2,1,2,3,3,Oui,12 %,2,3,1,630,6,2,Entrepreunariat,Y,Occasionnel,6,9,0
32,M,4707,Marié(e),Commercial,Cadre Commercial,8,80,6,4,2,4,4,2,3,4,3,3,Non,12 %,0,2,1,631,11,4,Autre,Y,Aucun,1,2,1
24,M,2400,Marié(e),Commercial,Représentant Commercial,0,80,3,2,2,4,3,1,4,3,3,3,Non,13 %,2,3,1,632,24,3,Transformation Digitale,Y,Frequent,2,1,0
38,F,9824,Marié(e),Consulting,Manager,3,80,18,1,0,3,3,2,3,3,3,3,Non,19 %,1,4,1,634,10,3,Transformation Digitale,Y,Occasionnel,0,0,0
37,F,6447,Marié(e),Consulting,Tech Lead,6,80,8,6,5,2,3,2,2,2,2,3,Non,12 %,1,2,1,635,1,4,Infra & Cloud,Y,Occasionnel,4,3,0
49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,80,31,31,9,4,2,5,3,3,3,3,Oui,17 %,1,5,1,638,18,4,Infra & Cloud,Y,Occasionnel,0,9,0
24,M,2725,Marié(e),Consulting,Assistant de Direction,1,80,6,6,5,2,4,1,4,2,3,3,Oui,11 %,2,3,1,639,23,3,Transformation Digitale,Y,Occasionnel,1,4,0
26,M,6272,Marié(e),Commercial,Cadre Commercial,1,80,6,5,3,1,3,2,2,4,4,4,Non,20 %,2,5,1,641,28,2,Marketing,Y,Occasionnel,1,4,0
24,M,2127,Marié(e),Consulting,Consultant,1,80,1,1,0,4,2,1,2,4,3,4,Non,21 %,1,2,1,643,17,2,Autre,Y,Occasionnel,0,0,0
50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,80,32,32,5,1,3,5,2,3,3,3,Non,11 %,1,2,1,644,3,3,Transformation Digitale,Y,Frequent,10,7,0
25,M,2096,Marié(e),Commercial,Représentant Commercial,1,80,7,7,4,2,3,1,3,3,3,3,Non,11 %,0,1,1,645,13,1,Transformation Digitale,Y,Occasionnel,0,6,0
24,F,2886,Marié(e),Consulting,Consultant,1,80,6,6,3,1,3,1,3,4,3,3,Oui,16 %,1,4,1,647,7,3,Infra & Cloud,Y,Frequent,1,2,1
30,M,2033,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,2,2,1,1,3,4,3,Non,18 %,1,2,1,648,12,4,Infra & Cloud,Y,Frequent,0,0,1
34,M,3622,Marié(e),Consulting,Assistant de Direction,1,80,6,6,5,2,2,1,4,4,3,3,Oui,13 %,1,3,1,649,1,2,Infra & Cloud,Y,Occasionnel,1,3,0
31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,80,9,3,1,2,3,2,1,3,1,3,Non,17 %,0,2,1,650,13,4,Transformation Digitale,Y,Occasionnel,1,2,1
35,M,3681,Célibataire,Consulting,Consultant,4,80,9,3,2,1,2,2,4,4,3,3,Non,14 %,0,3,1,652,25,2,Autre,Y,Occasionnel,0,2,0
31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,80,13,7,7,1,4,2,4,4,4,4,Non,22 %,2,4,1,653,6,4,Transformation Digitale,Y,Occasionnel,5,7,0
27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,80,6,5,3,1,2,1,3,3,2,3,Non,12 %,2,5,1,655,6,4,Transformation Digitale,Y,Occasionnel,0,3,0
37,M,9602,Marié(e),Commercial,Cadre Commercial,4,80,17,3,0,4,3,2,3,3,2,3,Oui,11 %,1,3,1,656,2,3,Marketing,Y,Occasionnel,1,0,0
20,F,2836,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,4,2,1,2,4,4,3,Non,13 %,0,0,1,657,1,3,Infra & Cloud,Y,Occasionnel,0,0,0
42,F,4089,Marié(e),Consulting,Manager,1,80,10,10,2,3,3,2,4,2,3,3,Non,13 %,2,4,1,659,2,4,Infra & Cloud,Y,Occasionnel,2,2,0
43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,80,21,1,0,2,2,4,4,3,2,3,Oui,14 %,1,3,1,661,6,4,Autre,Y,Occasionnel,0,0,0
38,F,2619,Célibataire,Consulting,Assistant de Direction,3,80,8,0,0,3,3,1,1,4,2,3,Non,17 %,0,3,1,662,1,1,Infra & Cloud,Y,Occasionnel,0,0,0
43,M,5679,Divorcé(e),Consulting,Consultant,3,80,10,8,7,4,3,2,3,2,3,3,Oui,13 %,1,3,1,663,9,5,Transformation Digitale,Y,Frequent,4,7,0
48,F,15402,Marié(e),Consulting,Senior Manager,7,80,21,3,2,4,2,4,1,1,1,3,Non,11 %,1,3,1,664,1,4,Infra & Cloud,Y,Occasionnel,0,2,0
44,F,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,80,10,2,2,1,2,2,3,2,4,3,Non,11 %,0,1,1,665,1,4,Infra & Cloud,Y,Occasionnel,0,2,0
34,F,2579,Divorcé(e),Commercial,Représentant Commercial,1,80,8,8,2,3,3,1,3,4,3,3,Oui,18 %,2,3,1,666,14,3,Entrepreunariat,Y,Occasionnel,0,6,0
27,M,3041,Divorcé(e),Commercial,Représentant Commercial,0,80,5,4,3,3,3,1,1,2,3,3,Non,11 %,1,3,1,667,2,1,Marketing,Y,Occasionnel,0,2,1
21,M,3447,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2,3,3,1,3,3,3,3,Non,11 %,0,2,1,669,22,1,Entrepreunariat,Y,Occasionnel,1,2,0
44,M,19513,Marié(e),Consulting,Senior Manager,4,80,26,2,2,4,3,5,4,1,4,3,Oui,12 %,1,2,1,671,3,4,Autre,Y,Occasionnel,0,1,0
22,M,2773,Marié(e),Consulting,Assistant de Direction,0,80,3,2,2,1,3,1,3,4,3,4,Non,20 %,0,3,1,675,6,1,Transformation Digitale,Y,Occasionnel,2,2,0
33,M,7104,Divorcé(e),Commercial,Cadre Commercial,0,80,6,5,0,3,3,2,3,4,3,3,Non,12 %,0,3,1,677,8,4,Marketing,Y,Occasionnel,1,2,0
32,F,6322,Marié(e),Consulting,Assistant de Direction,1,80,6,6,4,1,3,2,4,4,2,3,Oui,12 %,1,2,1,679,9,4,Infra & Cloud,Y,Occasionnel,0,5,0
30,F,2083,Divorcé(e),Consulting,Assistant de Direction,1,80,1,1,0,3,3,1,3,3,3,4,Non,20 %,1,2,1,680,3,3,Transformation Digitale,Y,Frequent,0,0,0
53,F,8381,Célibataire,Commercial,Cadre Commercial,7,80,18,14,7,4,3,2,1,4,4,4,Non,20 %,0,2,1,682,1,1,Transformation Digitale,Y,Occasionnel,8,10,0
34,M,2691,Marié(e),Consulting,Assistant de Direction,1,80,10,10,9,2,3,1,4,4,2,3,Non,12 %,1,4,1,683,1,5,Infra & Cloud,Y,Occasionnel,8,8,0
45,F,4286,Marié(e),Commercial,Cadre Commercial,2,80,5,1,1,1,3,2,1,4,3,3,Non,14 %,2,4,1,684,26,4,Infra & Cloud,Y,Frequent,0,0,1
26,F,2659,Marié(e),Consulting,Consultant,1,80,3,3,2,3,3,1,4,3,3,3,Oui,13 %,1,2,1,686,6,3,Infra & Cloud,Y,Occasionnel,0,2,0
